# Gray Failure Topology Metadata
# Format: filename, num_degraded_gpus, reduction_factor, degraded_gpu_ids

gray_topo_N2_R4.txt, 2, 1/4, [0,8]
gray_topo_N2_R5.txt, 2, 1/5, [0,8]
gray_topo_N2_R6.txt, 2, 1/6, [0,8]
gray_topo_N2_R7.txt, 2, 1/7, [0,8]
gray_topo_N2_R8.txt, 2, 1/8, [0,8]
gray_topo_N2_R9.txt, 2, 1/9, [0,8]
gray_topo_N2_R10.txt, 2, 1/10, [0,8]
gray_topo_N3_R4.txt, 3, 1/4, [0,1,8]
gray_topo_N3_R5.txt, 3, 1/5, [0,1,8]
gray_topo_N3_R6.txt, 3, 1/6, [0,1,8]
gray_topo_N3_R7.txt, 3, 1/7, [0,1,8]
gray_topo_N3_R8.txt, 3, 1/8, [0,1,8]
gray_topo_N3_R9.txt, 3, 1/9, [0,1,8]
gray_topo_N3_R10.txt, 3, 1/10, [0,1,8]
gray_topo_N4_R4.txt, 4, 1/4, [0,1,8,9]
gray_topo_N4_R5.txt, 4, 1/5, [0,1,8,9]
gray_topo_N4_R6.txt, 4, 1/6, [0,1,8,9]
gray_topo_N4_R7.txt, 4, 1/7, [0,1,8,9]
gray_topo_N4_R8.txt, 4, 1/8, [0,1,8,9]
gray_topo_N4_R9.txt, 4, 1/9, [0,1,8,9]
gray_topo_N4_R10.txt, 4, 1/10, [0,1,8,9]
gray_topo_N5_R4.txt, 5, 1/4, [0,1,2,8,9]
gray_topo_N5_R5.txt, 5, 1/5, [0,1,2,8,9]
gray_topo_N5_R6.txt, 5, 1/6, [0,1,2,8,9]
gray_topo_N5_R7.txt, 5, 1/7, [0,1,2,8,9]
gray_topo_N5_R8.txt, 5, 1/8, [0,1,2,8,9]
gray_topo_N5_R9.txt, 5, 1/9, [0,1,2,8,9]
gray_topo_N5_R10.txt, 5, 1/10, [0,1,2,8,9]
gray_topo_N6_R4.txt, 6, 1/4, [0,1,2,8,9,10]
gray_topo_N6_R5.txt, 6, 1/5, [0,1,2,8,9,10]
gray_topo_N6_R6.txt, 6, 1/6, [0,1,2,8,9,10]
gray_topo_N6_R7.txt, 6, 1/7, [0,1,2,8,9,10]
gray_topo_N6_R8.txt, 6, 1/8, [0,1,2,8,9,10]
gray_topo_N6_R9.txt, 6, 1/9, [0,1,2,8,9,10]
gray_topo_N6_R10.txt, 6, 1/10, [0,1,2,8,9,10]
gray_topo_N7_R4.txt, 7, 1/4, [0,1,2,3,8,9,10]
gray_topo_N7_R5.txt, 7, 1/5, [0,1,2,3,8,9,10]
gray_topo_N7_R6.txt, 7, 1/6, [0,1,2,3,8,9,10]
gray_topo_N7_R7.txt, 7, 1/7, [0,1,2,3,8,9,10]
gray_topo_N7_R8.txt, 7, 1/8, [0,1,2,3,8,9,10]
gray_topo_N7_R9.txt, 7, 1/9, [0,1,2,3,8,9,10]
gray_topo_N7_R10.txt, 7, 1/10, [0,1,2,3,8,9,10]
gray_topo_N8_R4.txt, 8, 1/4, [0,1,2,3,8,9,10,11]
gray_topo_N8_R5.txt, 8, 1/5, [0,1,2,3,8,9,10,11]
gray_topo_N8_R6.txt, 8, 1/6, [0,1,2,3,8,9,10,11]
gray_topo_N8_R7.txt, 8, 1/7, [0,1,2,3,8,9,10,11]
gray_topo_N8_R8.txt, 8, 1/8, [0,1,2,3,8,9,10,11]
gray_topo_N8_R9.txt, 8, 1/9, [0,1,2,3,8,9,10,11]
gray_topo_N8_R10.txt, 8, 1/10, [0,1,2,3,8,9,10,11]
gray_topo_N9_R4.txt, 9, 1/4, [0,1,2,3,4,5,6,7,16]
gray_topo_N9_R5.txt, 9, 1/5, [0,1,2,3,4,5,6,7,16]
gray_topo_N9_R6.txt, 9, 1/6, [0,1,2,3,4,5,6,7,16]
gray_topo_N9_R7.txt, 9, 1/7, [0,1,2,3,4,5,6,7,16]
gray_topo_N9_R8.txt, 9, 1/8, [0,1,2,3,4,5,6,7,16]
gray_topo_N9_R9.txt, 9, 1/9, [0,1,2,3,4,5,6,7,16]
gray_topo_N9_R10.txt, 9, 1/10, [0,1,2,3,4,5,6,7,16]
gray_topo_N10_R4.txt, 10, 1/4, [0,1,2,3,4,5,6,7,16,17]
gray_topo_N10_R5.txt, 10, 1/5, [0,1,2,3,4,5,6,7,16,17]
gray_topo_N10_R6.txt, 10, 1/6, [0,1,2,3,4,5,6,7,16,17]
gray_topo_N10_R7.txt, 10, 1/7, [0,1,2,3,4,5,6,7,16,17]
gray_topo_N10_R8.txt, 10, 1/8, [0,1,2,3,4,5,6,7,16,17]
gray_topo_N10_R9.txt, 10, 1/9, [0,1,2,3,4,5,6,7,16,17]
gray_topo_N10_R10.txt, 10, 1/10, [0,1,2,3,4,5,6,7,16,17]
gray_topo_N11_R4.txt, 11, 1/4, [0,1,2,3,4,5,6,7,16,17,18]
gray_topo_N11_R5.txt, 11, 1/5, [0,1,2,3,4,5,6,7,16,17,18]
gray_topo_N11_R6.txt, 11, 1/6, [0,1,2,3,4,5,6,7,16,17,18]
gray_topo_N11_R7.txt, 11, 1/7, [0,1,2,3,4,5,6,7,16,17,18]
gray_topo_N11_R8.txt, 11, 1/8, [0,1,2,3,4,5,6,7,16,17,18]
gray_topo_N11_R9.txt, 11, 1/9, [0,1,2,3,4,5,6,7,16,17,18]
gray_topo_N11_R10.txt, 11, 1/10, [0,1,2,3,4,5,6,7,16,17,18]
