File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 156262 (49.75%), 0 (0.00%), 4366 (1.39%), 13737 (4.37%), 0 (0.00%), 21251 (6.77%), 40829 (13.00%), 273239 (87.00%), 314068
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_gather,test1,1.000000,1.000000,1.000000,0.000000,156262.291000,0.000000,0.000000,-nan,0.000000,156262.292000,1.045889,0.784417,0.000000,-nan,0.000000,314067.989000
grad_param_comm,test1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,182647.599000,1.789600,1.342200,0.000000,-nan,0.000000,314067.989000
grad_param_compute,test1,1.000000,1.000000,1856.264000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,314067.989000
embedding_grads,test1,1.000000,1.000000,1.000000,0.000000,0.000000,61.280000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,61.280000,47.808216,83.664375,314067.989000
moe_grad_norm1,test1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,257059.752000,4.376414,0.000000,0.000000,-nan,0.000000,314067.989000
moe_grad_norm2,test1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,144967.336000,15.520738,0.000000,0.000000,-nan,0.000000,314067.989000
embedding_layer,test1,87.204000,2113.459000,1.000000,61.280000,0.000000,0.000000,61.280000,47.808216,83.664375,0.000000,-nan,0.000000,0.000000,-nan,0.000000,314067.989000
attention_column_1,test1,245.117000,122.558000,122.558000,30.690000,0.000000,26.285000,30.690000,95.460655,83.528076,0.000000,-nan,0.000000,26.285000,55.729267,48.763107,314067.989000
attention_row_1,test1,245.117000,122.558000,122.558000,30.870000,0.000000,30.690000,30.870000,94.904030,83.041023,0.000000,-nan,0.000000,30.690000,95.460655,83.528076,314067.989000
mlp_moelayer_1,test1,1112.273000,1.000000,1112.273000,22.283000,0.000000,22.283000,22.283000,4.108636,3.595057,0.000000,-nan,0.000000,22.283000,4.108636,3.595057,314067.989000
mlp_moelayer_2,test1,25.000000,1.000000,25.000000,7.747000,0.000000,7.747000,7.747000,189.085297,165.449631,0.000000,-nan,0.000000,7.747000,189.085297,165.449631,314067.989000
mlp_moelayer_3,test1,50.000000,1.000000,50.000000,381.597000,0.000000,381.597000,381.597000,15.354877,11.516158,0.000000,-nan,0.000000,381.597000,15.354877,11.516158,314067.989000
mlp_moelayer_4,test1,100.000000,1.000000,100.000000,58.214000,0.000000,58.394000,58.214000,201.304672,176.141586,0.000000,-nan,0.000000,58.394000,200.684143,175.598633,314067.989000
mlp_moelayer_5,test1,100.000000,1.000000,100.000000,58.394000,0.000000,58.214000,58.394000,200.684143,175.598633,0.000000,-nan,0.000000,58.214000,201.304672,176.141586,314067.989000
mlp_moelayer_6,test1,50.000000,1.000000,50.000000,381.597000,0.000000,381.597000,381.597000,15.354877,11.516158,0.000000,-nan,0.000000,381.597000,15.354877,11.516158,314067.989000
mlp_moelayer_7,test1,25.000000,1.000000,25.000000,7.747000,0.000000,7.747000,7.747000,189.085297,165.449631,0.000000,-nan,0.000000,7.747000,189.085297,165.449631,314067.989000
