Gray Failure Sweep Summary - FLOWSIM
================================================================================
Timestamp: 2025-11-07T11:30:00.199770
Total time: 18.9s (0.3 min)

  N   R Status      Duration(s) Output Dir                                                  
--------------------------------------------------------------------------------
  2   4 success             3.5 results_gray_failures_test/n_2_r_4_flowsim
  2   5 success             2.9 results_gray_failures_test/n_2_r_5_flowsim
  2   6 success             2.6 results_gray_failures_test/n_2_r_6_flowsim
  2   7 success             2.4 results_gray_failures_test/n_2_r_7_flowsim
  2   8 success             2.2 results_gray_failures_test/n_2_r_8_flowsim
  2   9 success             2.2 results_gray_failures_test/n_2_r_9_flowsim
  2  10 success             2.3 results_gray_failures_test/n_2_r_10_flowsim
  3   4 success             3.9 results_gray_failures_test/n_3_r_4_flowsim
  3   5 success             3.7 results_gray_failures_test/n_3_r_5_flowsim
  3   6 success             3.2 results_gray_failures_test/n_3_r_6_flowsim
  3   7 success             2.9 results_gray_failures_test/n_3_r_7_flowsim
  3   8 success             2.5 results_gray_failures_test/n_3_r_8_flowsim
  3   9 success             2.7 results_gray_failures_test/n_3_r_9_flowsim
  3  10 success             3.0 results_gray_failures_test/n_3_r_10_flowsim
  4   4 success             3.2 results_gray_failures_test/n_4_r_4_flowsim
  4   5 success             2.9 results_gray_failures_test/n_4_r_5_flowsim
  4   6 success             2.8 results_gray_failures_test/n_4_r_6_flowsim
  4   7 success             2.5 results_gray_failures_test/n_4_r_7_flowsim
  4   8 success             2.4 results_gray_failures_test/n_4_r_8_flowsim
  4   9 success             2.4 results_gray_failures_test/n_4_r_9_flowsim
  4  10 success             2.4 results_gray_failures_test/n_4_r_10_flowsim
  5   4 success             4.0 results_gray_failures_test/n_5_r_4_flowsim
  5   5 success             3.9 results_gray_failures_test/n_5_r_5_flowsim
  5   6 success             3.5 results_gray_failures_test/n_5_r_6_flowsim
  5   7 success             3.1 results_gray_failures_test/n_5_r_7_flowsim
  5   8 success             2.9 results_gray_failures_test/n_5_r_8_flowsim
  5   9 success             3.1 results_gray_failures_test/n_5_r_9_flowsim
  5  10 success             3.1 results_gray_failures_test/n_5_r_10_flowsim
  6   4 success             3.5 results_gray_failures_test/n_6_r_4_flowsim
  6   5 success             3.3 results_gray_failures_test/n_6_r_5_flowsim
  6   6 success             2.9 results_gray_failures_test/n_6_r_6_flowsim
  6   7 success             2.7 results_gray_failures_test/n_6_r_7_flowsim
  6   8 success             2.7 results_gray_failures_test/n_6_r_8_flowsim
  6   9 success             2.7 results_gray_failures_test/n_6_r_9_flowsim
  6  10 success             2.6 results_gray_failures_test/n_6_r_10_flowsim
  7   4 success             4.2 results_gray_failures_test/n_7_r_4_flowsim
  7   5 success             3.7 results_gray_failures_test/n_7_r_5_flowsim
  7   6 success             3.8 results_gray_failures_test/n_7_r_6_flowsim
  7   7 success             3.4 results_gray_failures_test/n_7_r_7_flowsim
  7   8 success             3.2 results_gray_failures_test/n_7_r_8_flowsim
  7   9 success             3.4 results_gray_failures_test/n_7_r_9_flowsim
  7  10 success             3.7 results_gray_failures_test/n_7_r_10_flowsim
  8   4 success             3.6 results_gray_failures_test/n_8_r_4_flowsim
  8   5 success             3.3 results_gray_failures_test/n_8_r_5_flowsim
  8   6 success             3.3 results_gray_failures_test/n_8_r_6_flowsim
  8   7 success             2.9 results_gray_failures_test/n_8_r_7_flowsim
  8   8 success             3.0 results_gray_failures_test/n_8_r_8_flowsim
  8   9 success             2.9 results_gray_failures_test/n_8_r_9_flowsim
  8  10 success             2.8 results_gray_failures_test/n_8_r_10_flowsim
  9   4 success             5.8 results_gray_failures_test/n_9_r_4_flowsim
  9   5 success             5.7 results_gray_failures_test/n_9_r_5_flowsim
  9   6 success             6.0 results_gray_failures_test/n_9_r_6_flowsim
  9   7 success             5.9 results_gray_failures_test/n_9_r_7_flowsim
  9   8 success             5.2 results_gray_failures_test/n_9_r_8_flowsim
  9   9 success             5.3 results_gray_failures_test/n_9_r_9_flowsim
  9  10 success             5.2 results_gray_failures_test/n_9_r_10_flowsim
 10   4 success             6.4 results_gray_failures_test/n_10_r_4_flowsim
 10   5 success             6.2 results_gray_failures_test/n_10_r_5_flowsim
 10   6 success             6.5 results_gray_failures_test/n_10_r_6_flowsim
 10   7 success             5.9 results_gray_failures_test/n_10_r_7_flowsim
 10   8 success             5.3 results_gray_failures_test/n_10_r_8_flowsim
 10   9 success             5.4 results_gray_failures_test/n_10_r_9_flowsim
 10  10 success             5.2 results_gray_failures_test/n_10_r_10_flowsim
 11   4 success             6.7 results_gray_failures_test/n_11_r_4_flowsim
 11   5 success             6.7 results_gray_failures_test/n_11_r_5_flowsim
 11   6 success             6.6 results_gray_failures_test/n_11_r_6_flowsim
 11   7 success             6.8 results_gray_failures_test/n_11_r_7_flowsim
 11   8 success             5.9 results_gray_failures_test/n_11_r_8_flowsim
 11   9 success             5.6 results_gray_failures_test/n_11_r_9_flowsim
 11  10 success             3.6 results_gray_failures_test/n_11_r_10_flowsim
 12   4 success             7.3 results_gray_failures_test/n_12_r_4_flowsim
 12   5 success             7.3 results_gray_failures_test/n_12_r_5_flowsim
 12   6 success             6.9 results_gray_failures_test/n_12_r_6_flowsim
 12   7 success             7.2 results_gray_failures_test/n_12_r_7_flowsim
 12   8 success             6.5 results_gray_failures_test/n_12_r_8_flowsim
 12   9 success             6.4 results_gray_failures_test/n_12_r_9_flowsim
 12  10 success             4.4 results_gray_failures_test/n_12_r_10_flowsim
 13   4 success             8.0 results_gray_failures_test/n_13_r_4_flowsim
 13   5 success             7.9 results_gray_failures_test/n_13_r_5_flowsim
 13   6 success             6.8 results_gray_failures_test/n_13_r_6_flowsim
 13   7 success             7.7 results_gray_failures_test/n_13_r_7_flowsim
 13   8 success             6.9 results_gray_failures_test/n_13_r_8_flowsim
 13   9 success             5.1 results_gray_failures_test/n_13_r_9_flowsim
 13  10 success             5.1 results_gray_failures_test/n_13_r_10_flowsim
 14   4 success             8.1 results_gray_failures_test/n_14_r_4_flowsim
 14   5 success             7.4 results_gray_failures_test/n_14_r_5_flowsim
 14   6 success             7.6 results_gray_failures_test/n_14_r_6_flowsim
 14   7 success             7.7 results_gray_failures_test/n_14_r_7_flowsim
 14   8 success             5.6 results_gray_failures_test/n_14_r_8_flowsim
 14   9 success             5.7 results_gray_failures_test/n_14_r_9_flowsim
 14  10 success             6.0 results_gray_failures_test/n_14_r_10_flowsim
 15   4 success             8.2 results_gray_failures_test/n_15_r_4_flowsim
 15   5 success             8.8 results_gray_failures_test/n_15_r_5_flowsim
 15   6 success             9.3 results_gray_failures_test/n_15_r_6_flowsim
 15   7 success             8.3 results_gray_failures_test/n_15_r_7_flowsim
 15   8 success             6.3 results_gray_failures_test/n_15_r_8_flowsim
 15   9 success             6.1 results_gray_failures_test/n_15_r_9_flowsim
 15  10 success             6.2 results_gray_failures_test/n_15_r_10_flowsim
 16   4 success             3.9 results_gray_failures_test/n_16_r_4_flowsim
 16   5 success             1.2 results_gray_failures_test/n_16_r_5_flowsim
 16   6 success             1.3 results_gray_failures_test/n_16_r_6_flowsim
 16   7 success             1.3 results_gray_failures_test/n_16_r_7_flowsim
 16   8 success             1.3 results_gray_failures_test/n_16_r_8_flowsim
 16   9 success             1.3 results_gray_failures_test/n_16_r_9_flowsim
 16  10 success             1.3 results_gray_failures_test/n_16_r_10_flowsim
