Gray Failure Sweep Summary - M4
================================================================================
Timestamp: 2025-10-09T13:27:45.357101
Total time: 624.8s (10.4 min)

  N   R Status      Duration(s) Output Dir                                                  
--------------------------------------------------------------------------------
  2   4 success            10.0 results_gray_failures/n_2_r_4_m4
  2   5 success            11.0 results_gray_failures/n_2_r_5_m4
  2   6 success            11.9 results_gray_failures/n_2_r_6_m4
  2   7 success            11.1 results_gray_failures/n_2_r_7_m4
  2   8 success            12.1 results_gray_failures/n_2_r_8_m4
  2   9 success            11.4 results_gray_failures/n_2_r_9_m4
  2  10 success            12.4 results_gray_failures/n_2_r_10_m4
  3   4 success            12.1 results_gray_failures/n_3_r_4_m4
  3   5 success            12.2 results_gray_failures/n_3_r_5_m4
  3   6 success            11.3 results_gray_failures/n_3_r_6_m4
  3   7 success            12.6 results_gray_failures/n_3_r_7_m4
  3   8 success            12.4 results_gray_failures/n_3_r_8_m4
  3   9 success            13.4 results_gray_failures/n_3_r_9_m4
  3  10 success            13.3 results_gray_failures/n_3_r_10_m4
  4   4 success            11.5 results_gray_failures/n_4_r_4_m4
  4   5 success            11.8 results_gray_failures/n_4_r_5_m4
  4   6 success            12.3 results_gray_failures/n_4_r_6_m4
  4   7 success            12.9 results_gray_failures/n_4_r_7_m4
  4   8 success            12.4 results_gray_failures/n_4_r_8_m4
  4   9 success            13.3 results_gray_failures/n_4_r_9_m4
  4  10 success            12.2 results_gray_failures/n_4_r_10_m4
  5   4 success            12.3 results_gray_failures/n_5_r_4_m4
  5   5 success            12.0 results_gray_failures/n_5_r_5_m4
  5   6 success            12.8 results_gray_failures/n_5_r_6_m4
  5   7 success            13.7 results_gray_failures/n_5_r_7_m4
  5   8 success            13.0 results_gray_failures/n_5_r_8_m4
  5   9 success            12.9 results_gray_failures/n_5_r_9_m4
  5  10 success            13.4 results_gray_failures/n_5_r_10_m4
  6   4 success            11.5 results_gray_failures/n_6_r_4_m4
  6   5 success            12.3 results_gray_failures/n_6_r_5_m4
  6   6 success            12.5 results_gray_failures/n_6_r_6_m4
  6   7 success            13.0 results_gray_failures/n_6_r_7_m4
  6   8 success            12.9 results_gray_failures/n_6_r_8_m4
  6   9 success            13.2 results_gray_failures/n_6_r_9_m4
  6  10 success            14.2 results_gray_failures/n_6_r_10_m4
  7   4 success            11.8 results_gray_failures/n_7_r_4_m4
  7   5 success            12.1 results_gray_failures/n_7_r_5_m4
  7   6 success            14.0 results_gray_failures/n_7_r_6_m4
  7   7 success            13.8 results_gray_failures/n_7_r_7_m4
  7   8 success            13.5 results_gray_failures/n_7_r_8_m4
  7   9 success            14.7 results_gray_failures/n_7_r_9_m4
