Gray Failure Sweep Summary - NS3
================================================================================
Timestamp: 2025-10-09T13:04:36.738910
Total time: 3825.3s (63.8 min)

  N   R Status      Duration(s) Output Dir                                                  
--------------------------------------------------------------------------------
  2   4 success           854.6 results_gray_failures/n_2_r_4_ns3
  2   5 success           967.0 results_gray_failures/n_2_r_5_ns3
  2   6 success          1035.8 results_gray_failures/n_2_r_6_ns3
  2   7 success          1114.4 results_gray_failures/n_2_r_7_ns3
  2   8 success          1066.4 results_gray_failures/n_2_r_8_ns3
  2   9 success          1040.7 results_gray_failures/n_2_r_9_ns3
  2  10 success          1250.9 results_gray_failures/n_2_r_10_ns3
  3   4 success           867.3 results_gray_failures/n_3_r_4_ns3
  3   5 success           988.5 results_gray_failures/n_3_r_5_ns3
  3   6 success          1018.6 results_gray_failures/n_3_r_6_ns3
  3   7 success          1115.6 results_gray_failures/n_3_r_7_ns3
  3   8 success          1121.5 results_gray_failures/n_3_r_8_ns3
  3   9 success          1114.9 results_gray_failures/n_3_r_9_ns3
  3  10 success          1169.2 results_gray_failures/n_3_r_10_ns3
  4   4 success           902.8 results_gray_failures/n_4_r_4_ns3
  4   5 success          1043.1 results_gray_failures/n_4_r_5_ns3
  4   6 success           993.6 results_gray_failures/n_4_r_6_ns3
  4   7 success          1035.6 results_gray_failures/n_4_r_7_ns3
  4   8 success          1187.8 results_gray_failures/n_4_r_8_ns3
  4   9 success          1066.8 results_gray_failures/n_4_r_9_ns3
  4  10 success          1072.3 results_gray_failures/n_4_r_10_ns3
  5   4 success           963.5 results_gray_failures/n_5_r_4_ns3
  5   5 success           932.5 results_gray_failures/n_5_r_5_ns3
  5   6 success          1044.5 results_gray_failures/n_5_r_6_ns3
  5   7 success          1107.5 results_gray_failures/n_5_r_7_ns3
  5   8 success          1076.2 results_gray_failures/n_5_r_8_ns3
  5   9 success          1054.4 results_gray_failures/n_5_r_9_ns3
  5  10 success          1200.9 results_gray_failures/n_5_r_10_ns3
  6   4 success           908.3 results_gray_failures/n_6_r_4_ns3
  6   5 success           993.7 results_gray_failures/n_6_r_5_ns3
  6   6 success          1025.6 results_gray_failures/n_6_r_6_ns3
  6   7 success          1043.8 results_gray_failures/n_6_r_7_ns3
  6   8 success          1050.9 results_gray_failures/n_6_r_8_ns3
  6   9 success          1052.7 results_gray_failures/n_6_r_9_ns3
  6  10 success          1142.4 results_gray_failures/n_6_r_10_ns3
  7   4 success           870.5 results_gray_failures/n_7_r_4_ns3
  7   5 success           878.5 results_gray_failures/n_7_r_5_ns3
  7   6 success           952.7 results_gray_failures/n_7_r_6_ns3
  7   7 success           995.8 results_gray_failures/n_7_r_7_ns3
  7   8 success          1023.6 results_gray_failures/n_7_r_8_ns3
  7   9 success          1042.2 results_gray_failures/n_7_r_9_ns3
  7  10 success          1032.4 results_gray_failures/n_7_r_10_ns3
  8   4 success           880.9 results_gray_failures/n_8_r_4_ns3
  8   5 success           900.2 results_gray_failures/n_8_r_5_ns3
  8   6 success           898.7 results_gray_failures/n_8_r_6_ns3
  8   7 success           972.7 results_gray_failures/n_8_r_7_ns3
  8   8 success           891.4 results_gray_failures/n_8_r_8_ns3
  8   9 success           818.9 results_gray_failures/n_8_r_9_ns3
  8  10 success           965.2 results_gray_failures/n_8_r_10_ns3
  9   4 success           656.0 results_gray_failures/n_9_r_4_ns3
  9   5 success           698.0 results_gray_failures/n_9_r_5_ns3
  9   6 success           787.6 results_gray_failures/n_9_r_6_ns3
  9   7 success           796.3 results_gray_failures/n_9_r_7_ns3
  9   8 success           832.9 results_gray_failures/n_9_r_8_ns3
  9   9 success           772.2 results_gray_failures/n_9_r_9_ns3
  9  10 success           875.8 results_gray_failures/n_9_r_10_ns3
 10   4 success           850.0 results_gray_failures/n_10_r_4_ns3
 10   5 success           971.8 results_gray_failures/n_10_r_5_ns3
 10   6 success          1059.9 results_gray_failures/n_10_r_6_ns3
 10   7 success          1077.3 results_gray_failures/n_10_r_7_ns3
 10   8 success          1053.2 results_gray_failures/n_10_r_8_ns3
 10   9 success          1206.5 results_gray_failures/n_10_r_9_ns3
 10  10 success          1181.2 results_gray_failures/n_10_r_10_ns3
 11   4 success           902.0 results_gray_failures/n_11_r_4_ns3
 11   5 success          1070.5 results_gray_failures/n_11_r_5_ns3
 11   6 success          1253.9 results_gray_failures/n_11_r_6_ns3
 11   7 success          1170.8 results_gray_failures/n_11_r_7_ns3
 11   8 success          1152.7 results_gray_failures/n_11_r_8_ns3
 11   9 success          1184.2 results_gray_failures/n_11_r_9_ns3
 11  10 success          1215.1 results_gray_failures/n_11_r_10_ns3
 12   4 success           836.1 results_gray_failures/n_12_r_4_ns3
 12   5 success           972.5 results_gray_failures/n_12_r_5_ns3
 12   6 success          1055.6 results_gray_failures/n_12_r_6_ns3
 12   7 success          1128.1 results_gray_failures/n_12_r_7_ns3
 12   8 success          1154.1 results_gray_failures/n_12_r_8_ns3
 12   9 success          1152.5 results_gray_failures/n_12_r_9_ns3
 12  10 success          1176.3 results_gray_failures/n_12_r_10_ns3
 13   4 success           926.6 results_gray_failures/n_13_r_4_ns3
 13   5 success           971.3 results_gray_failures/n_13_r_5_ns3
 13   6 success          1032.9 results_gray_failures/n_13_r_6_ns3
 13   7 success          1021.4 results_gray_failures/n_13_r_7_ns3
 13   8 success          1094.6 results_gray_failures/n_13_r_8_ns3
 13   9 success          1122.5 results_gray_failures/n_13_r_9_ns3
 13  10 success          1218.6 results_gray_failures/n_13_r_10_ns3
 14   4 success           883.9 results_gray_failures/n_14_r_4_ns3
 14   5 success           989.3 results_gray_failures/n_14_r_5_ns3
 14   6 success          1173.1 results_gray_failures/n_14_r_6_ns3
 14   7 success          1137.3 results_gray_failures/n_14_r_7_ns3
 14   8 success          1075.5 results_gray_failures/n_14_r_8_ns3
 14   9 success          1035.1 results_gray_failures/n_14_r_9_ns3
 14  10 success          1091.4 results_gray_failures/n_14_r_10_ns3
 15   4 success           817.0 results_gray_failures/n_15_r_4_ns3
 15   5 success           926.4 results_gray_failures/n_15_r_5_ns3
 15   6 success           923.3 results_gray_failures/n_15_r_6_ns3
 15   7 success           973.2 results_gray_failures/n_15_r_7_ns3
 15   8 success          1011.4 results_gray_failures/n_15_r_8_ns3
 15   9 success          1042.4 results_gray_failures/n_15_r_9_ns3
 15  10 success          1114.4 results_gray_failures/n_15_r_10_ns3
 16   4 success           837.7 results_gray_failures/n_16_r_4_ns3
 16   5 success           974.4 results_gray_failures/n_16_r_5_ns3
 16   6 success           936.8 results_gray_failures/n_16_r_6_ns3
 16   7 success          1022.3 results_gray_failures/n_16_r_7_ns3
 16   8 success           935.1 results_gray_failures/n_16_r_8_ns3
 16   9 success          1036.3 results_gray_failures/n_16_r_9_ns3
 16  10 success          1056.9 results_gray_failures/n_16_r_10_ns3
