File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
FlowSim_test, 156239 (50.06%), 0 (0.00%), 2453 (0.79%), 13773 (4.41%), 0 (0.00%), 20562 (6.59%), 40829 (13.08%), 271276 (86.92%), 312105
layer_name,FlowSim_test,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_gather,FlowSim_test,1.000000,1.000000,1.000000,0.000000,156238.850000,0.000000,0.000000,-nan,0.000000,156238.851000,1.046046,0.784535,0.000000,-nan,0.000000,312105.498000
grad_param_comm,FlowSim_test,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,182568.602000,1.790374,1.342781,0.000000,-nan,0.000000,312105.498000
grad_param_compute,FlowSim_test,1.000000,1.000000,1856.264000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,312105.498000
embedding_grads,FlowSim_test,1.000000,1.000000,1.000000,0.000000,0.000000,22.510000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,22.510000,130.150482,227.763336,312105.498000
moe_grad_norm1,FlowSim_test,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,256934.965000,4.378540,0.000000,0.000000,-nan,0.000000,312105.498000
moe_grad_norm2,FlowSim_test,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,144960.256000,15.521496,0.000000,0.000000,-nan,0.000000,312105.498000
embedding_layer,FlowSim_test,87.204000,2113.459000,1.000000,22.510000,0.000000,0.000000,22.510000,130.150482,227.763336,0.000000,-nan,0.000000,0.000000,-nan,0.000000,312105.498000
attention_column_1,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,8.747000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
attention_row_1,FlowSim_test,245.117000,122.558000,122.558000,13.335000,0.000000,13.335000,13.335000,219.699097,192.236710,0.000000,-nan,0.000000,13.335000,219.699097,192.236710,312105.498000
mlp_moelayer_1,FlowSim_test,1112.273000,1.000000,1112.273000,4.924000,0.000000,4.924000,4.924000,18.593163,16.269016,0.000000,-nan,0.000000,4.924000,18.593163,16.269016,312105.498000
mlp_moelayer_2,FlowSim_test,25.000000,1.000000,25.000000,8.747000,0.000000,8.747000,8.747000,167.468124,146.534607,0.000000,-nan,0.000000,8.747000,167.468124,146.534607,312105.498000
mlp_moelayer_3,FlowSim_test,50.000000,1.000000,50.000000,382.597000,0.000000,382.597000,382.597000,15.314744,11.486058,0.000000,-nan,0.000000,382.597000,15.314744,11.486058,312105.498000
mlp_moelayer_4,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
mlp_moelayer_5,FlowSim_test,100.000000,1.000000,100.000000,40.860000,0.000000,40.860000,40.860000,286.802490,250.952179,0.000000,-nan,0.000000,40.860000,286.802490,250.952179,312105.498000
