File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 158050 (49.83%), 0 (0.00%), 4355 (1.37%), 13967 (4.40%), 0 (0.00%), 21333 (6.73%), 40829 (12.87%), 276374 (87.13%), 317204
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_gather,test1,1.000000,1.000000,1.000000,0.000000,158049.865000,0.000000,0.000000,-nan,0.000000,158049.866000,1.034060,0.775545,0.000000,-nan,0.000000,317203.598000
grad_param_comm,test1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,184754.109000,1.769196,1.326897,0.000000,-nan,0.000000,317203.598000
grad_param_compute,test1,1.000000,1.000000,1856.264000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,317203.598000
embedding_grads,test1,1.000000,1.000000,1.000000,0.000000,0.000000,61.514000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,61.514000,47.626354,83.346123,317203.598000
moe_grad_norm1,test1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,259976.964000,4.327306,0.000000,0.000000,-nan,0.000000,317203.598000
moe_grad_norm2,test1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,146583.100000,15.349655,0.000000,0.000000,-nan,0.000000,317203.598000
embedding_layer,test1,87.204000,2113.459000,1.000000,61.596000,0.000000,0.000000,61.596000,47.562950,83.235161,0.000000,-nan,0.000000,0.000000,-nan,0.000000,317203.598000
attention_column_1,test1,245.117000,122.558000,122.558000,30.880000,0.000000,26.118000,30.880000,94.873299,83.014137,0.000000,-nan,0.000000,26.118000,56.085602,49.074902,317203.598000
attention_row_1,test1,245.117000,122.558000,122.558000,31.060000,0.000000,30.835000,31.060000,94.323486,82.533051,0.000000,-nan,0.000000,30.835000,95.011757,83.135284,317203.598000
mlp_moelayer_1,test1,1112.273000,1.000000,1112.273000,21.975000,0.000000,21.960000,21.975000,4.166222,3.645444,0.000000,-nan,0.000000,21.960000,4.169068,3.647934,317203.598000
mlp_moelayer_2,test1,25.000000,1.000000,25.000000,7.900000,0.000000,7.940000,7.900000,185.423264,162.245361,0.000000,-nan,0.000000,7.940000,184.489136,161.427994,317203.598000
mlp_moelayer_3,test1,50.000000,1.000000,50.000000,387.961000,0.000000,387.969000,387.961000,15.103000,11.327250,0.000000,-nan,0.000000,387.969000,15.102689,11.327017,317203.598000
mlp_moelayer_4,test1,100.000000,1.000000,100.000000,57.940000,0.000000,58.085000,57.940000,202.256638,176.974564,0.000000,-nan,0.000000,58.085000,201.751740,176.532776,317203.598000
mlp_moelayer_5,test1,100.000000,1.000000,100.000000,58.160000,0.000000,57.895000,58.160000,201.491577,176.305130,0.000000,-nan,0.000000,57.895000,202.413849,177.112122,317203.598000
mlp_moelayer_6,test1,50.000000,1.000000,50.000000,387.969000,0.000000,387.969000,387.969000,15.102689,11.327017,0.000000,-nan,0.000000,387.969000,15.102689,11.327017,317203.598000
mlp_moelayer_7,test1,25.000000,1.000000,25.000000,7.895000,0.000000,7.895000,7.895000,185.540695,162.348114,0.000000,-nan,0.000000,7.895000,185.540695,162.348114,317203.598000
attention_column_2,test1,245.117000,122.558000,122.558000,30.823000,0.000000,26.104000,30.823000,95.048744,83.167648,0.000000,-nan,0.000000,26.104000,56.115681,49.101219,317203.598000
attention_row_2,test1,245.117000,122.558000,122.558000,31.021000,0.000000,30.802000,31.021000,94.442070,82.636810,0.000000,-nan,0.000000,30.802000,95.113548,83.224358,317203.598000
mlp_moelayer_8,test1,1112.273000,1.000000,1112.273000,21.994000,0.000000,21.960000,21.994000,4.162623,3.642295,0.000000,-nan,0.000000,21.960000,4.169068,3.647934,317203.598000
mlp_moelayer_9,test1,25.000000,1.000000,25.000000,7.892000,0.000000,7.950000,7.892000,185.611221,162.409821,0.000000,-nan,0.000000,7.950000,184.257080,161.224945,317203.598000
mlp_moelayer_10,test1,50.000000,1.000000,50.000000,387.969000,0.000000,387.969000,387.969000,15.102689,11.327017,0.000000,-nan,0.000000,387.969000,15.102689,11.327017,317203.598000
mlp_moelayer_11,test1,100.000000,1.000000,100.000000,57.938000,0.000000,58.110000,57.938000,202.263626,176.980667,0.000000,-nan,0.000000,58.110000,201.664948,176.456833,317203.598000
mlp_moelayer_12,test1,100.000000,1.000000,100.000000,58.162000,0.000000,57.940000,58.162000,201.484650,176.299072,0.000000,-nan,0.000000,57.940000,202.256638,176.974564,317203.598000
mlp_moelayer_13,test1,50.000000,1.000000,50.000000,387.969000,0.000000,387.969000,387.969000,15.102689,11.327017,0.000000,-nan,0.000000,387.969000,15.102689,11.327017,317203.598000
